medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,discipline_code,event,country,discipline
Silver Medal,2,2021-07-28 00:00:00.0,TWELLAAR M,TWELLAAR Melvin,M,../../../en/results/rowing/athlete-profile-n1476583-twellaar-melvin.htm,NED,ROW,Men's Double Sculls,Netherlands,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,LIU Z,LIU Zhiyu,M,../../../en/results/rowing/athlete-profile-n1311560-liu-zhiyu.htm,CHN,ROW,Men's Double Sculls,People's Republic of China,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,ZHANG L,ZHANG Liang,M,../../../en/results/rowing/athlete-profile-n1313057-zhang-liang.htm,CHN,ROW,Men's Double Sculls,People's Republic of China,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,TURRIN S,TURRIN Spencer,M,../../../en/results/rowing/athlete-profile-n1348981-turrin-spencer.htm,AUS,ROW,Men's Four,,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,HARGREAVES J,HARGREAVES Jack,M,../../../en/results/rowing/athlete-profile-n1348956-hargreaves-jack.htm,AUS,ROW,Men's Four,,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,HILL A,HILL Alexander,M,../../../en/results/rowing/athlete-profile-n1348959-hill-alexander.htm,AUS,ROW,Men's Four,,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,PURNELL A,PURNELL Alexander,M,../../../en/results/rowing/athlete-profile-n1348975-purnell-alexander.htm,AUS,ROW,Men's Four,,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,PASCARI C,PASCARI Cosmin,M,../../../en/results/rowing/athlete-profile-n1286080-pascari-cosmin.htm,ROU,ROW,Men's Four,Romania,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,SEMCIUC MV,SEMCIUC Mugurel Vasile,M,../../../en/results/rowing/athlete-profile-n1286090-semciuc-mugurel-vasile.htm,ROU,ROW,Men's Four,Romania,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,TIGANESCU M,TIGANESCU Mihaita,M,../../../en/results/rowing/athlete-profile-n1286097-tiganescu-mihaita.htm,ROU,ROW,Men's Four,Romania,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,BERARIU S,BERARIU Stefan,M,../../../en/results/rowing/athlete-profile-n1285968-berariu-stefan.htm,ROU,ROW,Men's Four,Romania,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,CASTALDO M,CASTALDO Matteo,M,../../../en/results/rowing/athlete-profile-n1321405-castaldo-matteo.htm,ITA,ROW,Men's Four,Italy,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,VICINO G,VICINO Giuseppe,M,../../../en/results/rowing/athlete-profile-n1347201-vicino-giuseppe.htm,ITA,ROW,Men's Four,Italy,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,LODO M,LODO Matteo,M,../../../en/results/rowing/athlete-profile-n1331781-lodo-matteo.htm,ITA,ROW,Men's Four,Italy,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,di COSTANZO M,di COSTANZO Marco,M,../../../en/results/rowing/athlete-profile-n1331795-di-costanzo-marco.htm,ITA,ROW,Men's Four,Italy,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,WIERSMA A,WIERSMA Abe,M,../../../en/results/rowing/athlete-profile-n1476587-wiersma-abe.htm,NED,ROW,Men's Quadruple Sculls,Netherlands,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,WIETEN T,WIETEN Tone,M,../../../en/results/rowing/athlete-profile-n1474576-wieten-tone.htm,NED,ROW,Men's Quadruple Sculls,Netherlands,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,METSEMAKERS K,METSEMAKERS Koen,M,../../../en/results/rowing/athlete-profile-n1476569-metsemakers-koen.htm,NED,ROW,Men's Quadruple Sculls,Netherlands,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,UITTENBOGAARD D,UITTENBOGAARD Lucas Theodoor Dirk,M,../../../en/results/rowing/athlete-profile-n1476582-uittenbogaard-lucas-theodoor-dirk.htm,NED,ROW,Men's Quadruple Sculls,Netherlands,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,GROOM A,GROOM Angus,M,../../../en/results/rowing/athlete-profile-n1444690-groom-angus.htm,GBR,ROW,Men's Quadruple Sculls,Great Britain,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,LEASK H,LEASK Harry,M,../../../en/results/rowing/athlete-profile-n1444698-leask-harry.htm,GBR,ROW,Men's Quadruple Sculls,Great Britain,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,BARRAS T,BARRAS Tom,M,../../../en/results/rowing/athlete-profile-n1444661-barras-tom.htm,GBR,ROW,Men's Quadruple Sculls,Great Britain,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,BEAUMONT J,BEAUMONT Jack,M,../../../en/results/rowing/athlete-profile-n1444663-beaumont-jack.htm,GBR,ROW,Men's Quadruple Sculls,Great Britain,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,GIRDLESTONE C,GIRDLESTONE Cameron,M,../../../en/results/rowing/athlete-profile-n1348952-girdlestone-cameron.htm,AUS,ROW,Men's Quadruple Sculls,,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,ANTILL C,ANTILL Caleb,M,../../../en/results/rowing/athlete-profile-n1348938-antill-caleb.htm,AUS,ROW,Men's Quadruple Sculls,,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,CLEARY J,CLEARY Jack,M,../../../en/results/rowing/athlete-profile-n1348945-cleary-jack.htm,AUS,ROW,Men's Quadruple Sculls,,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,LETCHER L,LETCHER Luke,M,../../../en/results/rowing/athlete-profile-n1348985-letcher-luke.htm,AUS,ROW,Men's Quadruple Sculls,,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,BODNAR A,BODNAR Ancuta,W,../../../en/results/rowing/athlete-profile-n1287111-bodnar-ancuta.htm,ROU,ROW,Women's Double Sculls,Romania,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,RADIS S,RADIS Simona,W,../../../en/results/rowing/athlete-profile-n1287184-radis-simona.htm,ROU,ROW,Women's Double Sculls,Romania,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,OSBORNE H,OSBORNE Hannah,W,../../../en/results/rowing/athlete-profile-n1462958-osborne-hannah.htm,NZL,ROW,Women's Double Sculls,New Zealand,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,DONOGHUE B,DONOGHUE Brooke,W,../../../en/results/rowing/athlete-profile-n1462916-donoghue-brooke.htm,NZL,ROW,Women's Double Sculls,New Zealand,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,de JONG R,de JONG Roos,W,../../../en/results/rowing/athlete-profile-n1476558-de-jong-roos.htm,NED,ROW,Women's Double Sculls,Netherlands,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,SCHEENAARD L,SCHEENAARD Lisa,W,../../../en/results/rowing/athlete-profile-n1476577-scheenaard-lisa.htm,NED,ROW,Women's Double Sculls,Netherlands,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,STEPHAN L,STEPHAN Lucy,W,../../../en/results/rowing/athlete-profile-n1348978-stephan-lucy.htm,AUS,ROW,Women's Four,,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,MORRISON J,MORRISON Jessica,W,../../../en/results/rowing/athlete-profile-n1348966-morrison-jessica.htm,AUS,ROW,Women's Four,,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,POPA R,POPA Rosemary,W,../../../en/results/rowing/athlete-profile-n1348972-popa-rosemary.htm,AUS,ROW,Women's Four,,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,McINTYRE A,McINTYRE Annabelle,W,../../../en/results/rowing/athlete-profile-n1348963-mcintyre-annabelle.htm,AUS,ROW,Women's Four,,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,HOGERWERF E,HOGERWERF Ellen,W,../../../en/results/rowing/athlete-profile-n1476555-hogerwerf-ellen.htm,NED,ROW,Women's Four,Netherlands,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,CLEVERING Y,CLEVERING Ymkje,W,../../../en/results/rowing/athlete-profile-n1474566-clevering-ymkje.htm,NED,ROW,Women's Four,Netherlands,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,FLORIJN K,FLORIJN Karolien,W,../../../en/results/rowing/athlete-profile-n1474574-florijn-karolien.htm,NED,ROW,Women's Four,Netherlands,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,MEESTER V,MEESTER Veronique,W,../../../en/results/rowing/athlete-profile-n1476566-meester-veronique.htm,NED,ROW,Women's Four,Netherlands,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,HEGARTY E,HEGARTY Emily,W,../../../en/results/rowing/athlete-profile-n1288619-hegarty-emily.htm,IRL,ROW,Women's Four,Ireland,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,LAMBE E,LAMBE Eimear,W,../../../en/results/rowing/athlete-profile-n1281626-lambe-eimear.htm,IRL,ROW,Women's Four,Ireland,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,KEOGH A,KEOGH Aifric,W,../../../en/results/rowing/athlete-profile-n1281628-keogh-aifric.htm,IRL,ROW,Women's Four,Ireland,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,MURTAGH F,MURTAGH Fiona,W,../../../en/results/rowing/athlete-profile-n1360599-murtagh-fiona.htm,IRL,ROW,Women's Four,Ireland,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,ZHANG L,ZHANG Ling,W,../../../en/results/rowing/athlete-profile-n1313061-zhang-ling.htm,CHN,ROW,Women's Quadruple Sculls,People's Republic of China,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,CHEN Y,CHEN Yunxia,W,../../../en/results/rowing/athlete-profile-n1310267-chen-yunxia.htm,CHN,ROW,Women's Quadruple Sculls,People's Republic of China,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,CUI X,CUI Xiaotong,W,../../../en/results/rowing/athlete-profile-n1310275-cui-xiaotong.htm,CHN,ROW,Women's Quadruple Sculls,People's Republic of China,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,LYU Y,LYU Yang,W,../../../en/results/rowing/athlete-profile-n1311571-lyu-yang.htm,CHN,ROW,Women's Quadruple Sculls,People's Republic of China,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,ZILLMANN K,ZILLMANN Katarzyna,W,../../../en/results/rowing/athlete-profile-n1316409-zillmann-katarzyna.htm,POL,ROW,Women's Quadruple Sculls,Poland,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,KOBUS-ZAWOJSKA A,KOBUS-ZAWOJSKA Agnieszka,W,../../../en/results/rowing/athlete-profile-n1316421-kobus-zawojska-agnieszka.htm,POL,ROW,Women's Quadruple Sculls,Poland,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,SAJDAK M,SAJDAK Maria,W,../../../en/results/rowing/athlete-profile-n1316428-sajdak-maria.htm,POL,ROW,Women's Quadruple Sculls,Poland,Rowing
Silver Medal,2,2021-07-28 00:00:00.0,WIELICZKO M,WIELICZKO Marta,W,../../../en/results/rowing/athlete-profile-n1316433-wieliczko-marta.htm,POL,ROW,Women's Quadruple Sculls,Poland,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,MEREDITH R,MEREDITH Rowena,W,../../../en/results/rowing/athlete-profile-n1348964-meredith-rowena.htm,AUS,ROW,Women's Quadruple Sculls,,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,HUDSON H,HUDSON Harriet,W,../../../en/results/rowing/athlete-profile-n1348988-hudson-harriet.htm,AUS,ROW,Women's Quadruple Sculls,,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,THOMPSON R,THOMPSON Ria,W,../../../en/results/rowing/athlete-profile-n1348990-thompson-ria.htm,AUS,ROW,Women's Quadruple Sculls,,Rowing
Bronze Medal,3,2021-07-28 00:00:00.0,CRONIN C,CRONIN Caitlin,W,../../../en/results/rowing/athlete-profile-n1348947-cronin-caitlin.htm,AUS,ROW,Women's Quadruple Sculls,,Rowing
Gold Medal,1,2021-07-28 00:00:00.0,VAKURUNABILI J,VAKURUNABILI Josua,M,../../../en/results/rugby-sevens/athlete-profile-n1282469-vakurunabili-josua.htm,FIJ,RUG,Men,Fiji,Rugby Sevens
Gold Medal,1,2021-07-28 00:00:00.0,DERENALAGI M,DERENALAGI Meli,M,../../../en/results/rugby-sevens/athlete-profile-n1282472-derenalagi-meli.htm,FIJ,RUG,Men,Fiji,Rugby Sevens
Gold Medal,1,2021-07-28 00:00:00.0,NACUQU W,NACUQU Waisea,M,../../../en/results/rugby-sevens/athlete-profile-n1282477-nacuqu-waisea.htm,FIJ,RUG,Men,Fiji,Rugby Sevens
Gold Medal,1,2021-07-28 00:00:00.0,TUIMABA A,TUIMABA Aminiasi,M,../../../en/results/rugby-sevens/athlete-profile-n1282478-tuimaba-aminiasi.htm,FIJ,RUG,Men,Fiji,Rugby Sevens
Gold Medal,1,2021-07-28 00:00:00.0,TUWAI J,TUWAI Jerry,M,../../../en/results/rugby-sevens/athlete-profile-n1282481-tuwai-jerry.htm,FIJ,RUG,Men,Fiji,Rugby Sevens
Gold Medal,1,2021-07-28 00:00:00.0,BOTITU V,BOTITU Vilimoni,M,../../../en/results/rugby-sevens/athlete-profile-n1282483-botitu-vilimoni.htm,FIJ,RUG,Men,Fiji,Rugby Sevens
Gold Medal,1,2021-07-28 00:00:00.0,NASOKO K,NASOKO Kalione,M,../../../en/results/rugby-sevens/athlete-profile-n1282484-nasoko-kalione.htm,FIJ,RUG,Men,Fiji,Rugby Sevens
Gold Medal,1,2021-07-28 00:00:00.0,BOLACA N,BOLACA Napolioni,M,../../../en/results/rugby-sevens/athlete-profile-n1282490-bolaca-napolioni.htm,FIJ,RUG,Men,Fiji,Rugby Sevens
Gold Medal,1,2021-07-28 00:00:00.0,TUIVUAKA A,TUIVUAKA Asaeli,M,../../../en/results/rugby-sevens/athlete-profile-n1282492-tuivuaka-asaeli.htm,FIJ,RUG,Men,Fiji,Rugby Sevens
Gold Medal,1,2021-07-28 00:00:00.0,WAINIQOLO J,WAINIQOLO Jiuta,M,../../../en/results/rugby-sevens/athlete-profile-n1282505-wainiqolo-jiuta.htm,FIJ,RUG,Men,Fiji,Rugby Sevens
Gold Medal,1,2021-07-28 00:00:00.0,RADRADRA S,RADRADRA Semi,M,../../../en/results/rugby-sevens/athlete-profile-n1282511-radradra-semi.htm,FIJ,RUG,Men,Fiji,Rugby Sevens
Gold Medal,1,2021-07-28 00:00:00.0,MAQALA S,MAQALA Sireli,M,../../../en/results/rugby-sevens/athlete-profile-n1459385-maqala-sireli.htm,FIJ,RUG,Men,Fiji,Rugby Sevens
Gold Medal,1,2021-07-28 00:00:00.0,BALEIWAIRIKI IM,BALEIWAIRIKI Iosefo Masikau,M,../../../en/results/rugby-sevens/athlete-profile-n1363538-baleiwairiki-iosefo-masikau.htm,FIJ,RUG,Men,Fiji,Rugby Sevens
Silver Medal,2,2021-07-28 00:00:00.0,WARBRICK W,WARBRICK William,M,../../../en/results/rugby-sevens/athlete-profile-n1473865-warbrick-william.htm,NZL,RUG,Men,New Zealand,Rugby Sevens
Silver Medal,2,2021-07-28 00:00:00.0,WARE R,WARE Regan,M,../../../en/results/rugby-sevens/athlete-profile-n1473866-ware-regan.htm,NZL,RUG,Men,New Zealand,Rugby Sevens
Silver Medal,2,2021-07-28 00:00:00.0,WEBBER J,WEBBER Joe,M,../../../en/results/rugby-sevens/athlete-profile-n1473867-webber-joe.htm,NZL,RUG,Men,New Zealand,Rugby Sevens
Silver Medal,2,2021-07-28 00:00:00.0,NG SHIU T,NG SHIU Tone,M,../../../en/results/rugby-sevens/athlete-profile-n1473843-ng-shiu-tone.htm,NZL,RUG,Men,New Zealand,Rugby Sevens
Silver Medal,2,2021-07-28 00:00:00.0,NICOLE A,NICOLE Amanaki,M,../../../en/results/rugby-sevens/athlete-profile-n1473844-nicole-amanaki.htm,NZL,RUG,Men,New Zealand,Rugby Sevens
Silver Medal,2,2021-07-28 00:00:00.0,BAKER K,BAKER Kurt,M,../../../en/results/rugby-sevens/athlete-profile-n1473810-baker-kurt.htm,NZL,RUG,Men,New Zealand,Rugby Sevens
Silver Medal,2,2021-07-28 00:00:00.0,COLLIER D,COLLIER Dylan,M,../../../en/results/rugby-sevens/athlete-profile-n1473816-collier-dylan.htm,NZL,RUG,Men,New Zealand,Rugby Sevens
Silver Medal,2,2021-07-28 00:00:00.0,CURRY S,CURRY Scott,M,../../../en/results/rugby-sevens/athlete-profile-n1473818-curry-scott.htm,NZL,RUG,Men,New Zealand,Rugby Sevens
Silver Medal,2,2021-07-28 00:00:00.0,KNEWSTUBB A,KNEWSTUBB Andrew,M,../../../en/results/rugby-sevens/athlete-profile-n1473832-knewstubb-andrew.htm,NZL,RUG,Men,New Zealand,Rugby Sevens
Silver Medal,2,2021-07-28 00:00:00.0,McGARVEY-BLACK N,McGARVEY-BLACK Ngarohi,M,../../../en/results/rugby-sevens/athlete-profile-n1473836-mcgarvey-black-ngarohi.htm,NZL,RUG,Men,New Zealand,Rugby Sevens
Silver Medal,2,2021-07-28 00:00:00.0,MIKKELSON T,MIKKELSON Tim,M,../../../en/results/rugby-sevens/athlete-profile-n1473837-mikkelson-tim.htm,NZL,RUG,Men,New Zealand,Rugby Sevens
Silver Medal,2,2021-07-28 00:00:00.0,MOLIA S,MOLIA Sione,M,../../../en/results/rugby-sevens/athlete-profile-n1473839-molia-sione.htm,NZL,RUG,Men,New Zealand,Rugby Sevens
Silver Medal,2,2021-07-28 00:00:00.0,NANAI-SETURO E,NANAI-SETURO Etene,M,../../../en/results/rugby-sevens/athlete-profile-n1473841-nanai-seturo-etene.htm,NZL,RUG,Men,New Zealand,Rugby Sevens
Bronze Medal,3,2021-07-28 00:00:00.0,ALVAREZ S,ALVAREZ Santiago,M,../../../en/results/rugby-sevens/athlete-profile-n1362706-alvarez-santiago.htm,ARG,RUG,Men,Argentina,Rugby Sevens
Bronze Medal,3,2021-07-28 00:00:00.0,BAZAN VELEZ L,BAZAN VELEZ Lautaro,M,../../../en/results/rugby-sevens/athlete-profile-n1362707-bazan-velez-lautaro.htm,ARG,RUG,Men,Argentina,Rugby Sevens
Bronze Medal,3,2021-07-28 00:00:00.0,del MESTRE F,del MESTRE Felipe,M,../../../en/results/rugby-sevens/athlete-profile-n1362708-del-mestre-felipe.htm,ARG,RUG,Men,Argentina,Rugby Sevens
Bronze Medal,3,2021-07-28 00:00:00.0,OSADCZUK M,OSADCZUK Matias,M,../../../en/results/rugby-sevens/athlete-profile-n1362709-osadczuk-matias.htm,ARG,RUG,Men,Argentina,Rugby Sevens
Bronze Medal,3,2021-07-28 00:00:00.0,ETCHART R,ETCHART Rodrigo,M,../../../en/results/rugby-sevens/athlete-profile-n1362711-etchart-rodrigo.htm,ARG,RUG,Men,Argentina,Rugby Sevens
Bronze Medal,3,2021-07-28 00:00:00.0,REVOL G,REVOL Gaston,M,../../../en/results/rugby-sevens/athlete-profile-n1362715-revol-gaston.htm,ARG,RUG,Men,Argentina,Rugby Sevens
Bronze Medal,3,2021-07-28 00:00:00.0,GONZALEZ L,GONZALEZ Luciano,M,../../../en/results/rugby-sevens/athlete-profile-n1362718-gonzalez-luciano.htm,ARG,RUG,Men,Argentina,Rugby Sevens
Bronze Medal,3,2021-07-28 00:00:00.0,MARE S,MARE Santiago,M,../../../en/results/rugby-sevens/athlete-profile-n1362719-mare-santiago.htm,ARG,RUG,Men,Argentina,Rugby Sevens
Bronze Medal,3,2021-07-28 00:00:00.0,MONETA M,MONETA Marcos,M,../../../en/results/rugby-sevens/athlete-profile-n1362763-moneta-marcos.htm,ARG,RUG,Men,Argentina,Rugby Sevens
Bronze Medal,3,2021-07-28 00:00:00.0,CINTI L,CINTI Lucio,M,../../../en/results/rugby-sevens/athlete-profile-n1362765-cinti-lucio.htm,ARG,RUG,Men,Argentina,Rugby Sevens
Bronze Medal,3,2021-07-28 00:00:00.0,MENDY I,MENDY Ignacio,M,../../../en/results/rugby-sevens/athlete-profile-n1362766-mendy-ignacio.htm,ARG,RUG,Men,Argentina,Rugby Sevens
Bronze Medal,3,2021-07-28 00:00:00.0,SCHULZ G,SCHULZ German,M,../../../en/results/rugby-sevens/athlete-profile-n1362769-schulz-german.htm,ARG,RUG,Men,Argentina,Rugby Sevens
Bronze Medal,3,2021-07-28 00:00:00.0,ISGRO R,ISGRO Rodrigo,M,../../../en/results/rugby-sevens/athlete-profile-n1362773-isgro-rodrigo.htm,ARG,RUG,Men,Argentina,Rugby Sevens
Gold Medal,1,2021-07-28 00:00:00.0,MILAK K,MILAK Kristof,M,../../../en/results/swimming/athlete-profile-n1365884-milak-kristof.htm,HUN,SWM,Men's 200m Butterfly,Hungary,Swimming
Silver Medal,2,2021-07-28 00:00:00.0,HONDA T,HONDA Tomoru,M,../../../en/results/swimming/athlete-profile-n1315924-honda-tomoru.htm,JPN,SWM,Men's 200m Butterfly,Japan,Swimming
Bronze Medal,3,2021-07-28 00:00:00.0,BURDISSO F,BURDISSO Federico,M,../../../en/results/swimming/athlete-profile-n1350398-burdisso-federico.htm,ITA,SWM,Men's 200m Butterfly,Italy,Swimming
Gold Medal,1,2021-07-28 00:00:00.0,SCOTT D,SCOTT Duncan,M,../../../en/results/swimming/athlete-profile-n1444193-scott-duncan.htm,GBR,SWM,Men's 4 x 200m Freestyle Relay,Great Britain,Swimming
Gold Medal,1,2021-07-28 00:00:00.0,DEAN T,DEAN Tom,M,../../../en/results/swimming/athlete-profile-n1444167-dean-tom.htm,GBR,SWM,Men's 4 x 200m Freestyle Relay,Great Britain,Swimming
Gold Medal,1,2021-07-28 00:00:00.0,JARVIS C,JARVIS Calum,M,../../../en/results/swimming/athlete-profile-n1444175-jarvis-calum.htm,GBR,SWM,Men's 4 x 200m Freestyle Relay,Great Britain,Swimming
Gold Medal,1,2021-07-28 00:00:00.0,GUY J,GUY James,M,../../../en/results/swimming/athlete-profile-n1444170-guy-james.htm,GBR,SWM,Men's 4 x 200m Freestyle Relay,Great Britain,Swimming
Gold Medal,1,2021-07-28 00:00:00.0,RICHARDS M,RICHARDS Matthew,M,../../../en/results/swimming/athlete-profile-n1665976-richards-matthew.htm,GBR,SWM,Men's 4 x 200m Freestyle Relay,Great Britain,Swimming
Silver Medal,2,2021-07-28 00:00:00.0,RYLOV E,RYLOV Evgeny,M,../../../en/results/swimming/athlete-profile-n1431532-rylov-evgeny.htm,ROC,SWM,Men's 4 x 200m Freestyle Relay,ROC,Swimming
Silver Medal,2,2021-07-28 00:00:00.0,VEKOVISHCHEV M,VEKOVISHCHEV Mikhail,M,../../../en/results/swimming/athlete-profile-n1431634-vekovishchev-mikhail.htm,ROC,SWM,Men's 4 x 200m Freestyle Relay,ROC,Swimming
Silver Medal,2,2021-07-28 00:00:00.0,GIREV I,GIREV Ivan,M,../../../en/results/swimming/athlete-profile-n1431493-girev-ivan.htm,ROC,SWM,Men's 4 x 200m Freestyle Relay,ROC,Swimming
Silver Medal,2,2021-07-28 00:00:00.0,DOVGALYUK M,DOVGALYUK Mikhail,M,../../../en/results/swimming/athlete-profile-n1431496-dovgalyuk-mikhail.htm,ROC,SWM,Men's 4 x 200m Freestyle Relay,ROC,Swimming
Silver Medal,2,2021-07-28 00:00:00.0,KRASNYKH A,KRASNYKH Aleksandr,M,../../../en/results/swimming/athlete-profile-n1431510-krasnykh-aleksandr.htm,ROC,SWM,Men's 4 x 200m Freestyle Relay,ROC,Swimming
Silver Medal,2,2021-07-28 00:00:00.0,MALYUTIN M,MALYUTIN Martin,M,../../../en/results/swimming/athlete-profile-n1431518-malyutin-martin.htm,ROC,SWM,Men's 4 x 200m Freestyle Relay,ROC,Swimming
Bronze Medal,3,2021-07-28 00:00:00.0,WINNINGTON E,WINNINGTON Elijah,M,../../../en/results/swimming/athlete-profile-n1482901-winnington-elijah.htm,AUS,SWM,Men's 4 x 200m Freestyle Relay,,Swimming
Bronze Medal,3,2021-07-28 00:00:00.0,INCERTI Z,INCERTI Zac,M,../../../en/results/swimming/athlete-profile-n1482856-incerti-zac.htm,AUS,SWM,Men's 4 x 200m Freestyle Relay,,Swimming
Bronze Medal,3,2021-07-28 00:00:00.0,GRAHAM A,GRAHAM Alexander,M,../../../en/results/swimming/athlete-profile-n1482864-graham-alexander.htm,AUS,SWM,Men's 4 x 200m Freestyle Relay,,Swimming
Bronze Medal,3,2021-07-28 00:00:00.0,HORTON M,HORTON Mack,M,../../../en/results/swimming/athlete-profile-n1482865-horton-mack.htm,AUS,SWM,Men's 4 x 200m Freestyle Relay,,Swimming
Bronze Medal,3,2021-07-28 00:00:00.0,CHALMERS K,CHALMERS Kyle,M,../../../en/results/swimming/athlete-profile-n1482862-chalmers-kyle.htm,AUS,SWM,Men's 4 x 200m Freestyle Relay,,Swimming
Bronze Medal,3,2021-07-28 00:00:00.0,NEILL T,NEILL Thomas,M,../../../en/results/swimming/athlete-profile-n1482918-neill-thomas.htm,AUS,SWM,Men's 4 x 200m Freestyle Relay,,Swimming
Gold Medal,1,2021-07-28 00:00:00.0,LEDECKY K,LEDECKY Kathleen,W,../../../en/results/swimming/athlete-profile-n1302300-ledecky-kathleen.htm,USA,SWM,Women's 1500m Freestyle,United States of America,Swimming
Silver Medal,2,2021-07-28 00:00:00.0,SULLIVAN E,SULLIVAN Erica,W,../../../en/results/swimming/athlete-profile-n1302266-sullivan-erica.htm,USA,SWM,Women's 1500m Freestyle,United States of America,Swimming
Bronze Medal,3,2021-07-28 00:00:00.0,KOHLER S,KOHLER Sarah,W,../../../en/results/swimming/athlete-profile-n1350546-kohler-sarah.htm,GER,SWM,Women's 1500m Freestyle,Germany,Swimming
Gold Medal,1,2021-07-28 00:00:00.0,TITMUS A,TITMUS Ariarne,W,../../../en/results/swimming/athlete-profile-n1482877-titmus-ariarne.htm,AUS,SWM,Women's 200m Freestyle,,Swimming
Silver Medal,2,2021-07-28 00:00:00.0,HAUGHEY SB,HAUGHEY Siobhan Bernadette,W,../../../en/results/swimming/athlete-profile-n1419400-haughey-siobhan-bernadette.htm,HKG,SWM,Women's 200m Freestyle,"Hong Kong, China",Swimming
